2026-03-20 21:03:11 | WARNING | oi_screener | [DOGEUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:12 | WARNING | oi_screener | [DOGEUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
2026-03-20 21:03:13 | WARNING | oi_screener | [HOOKUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:14 | WARNING | oi_screener | [HOOKUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
2026-03-20 21:03:15 | WARNING | oi_screener | [TWTUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:16 | WARNING | oi_screener | [TWTUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
2026-03-20 21:03:17 | WARNING | oi_screener | [BNBUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:17 | WARNING | oi_screener | [BNBUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
2026-03-20 21:03:20 | WARNING | oi_screener | [MANAUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:20 | WARNING | oi_screener | [MANAUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
2026-03-20 21:03:21 | WARNING | oi_screener | [APEUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:21 | WARNING | oi_screener | [APEUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
